env_step,return,smoothed_return
0,17.0,32.72448484848475
10000,194.76000000000002,177.9041212121212
20000,333.08000000000004,292.76224242424246
30000,346.3,377.2988484848486
40000,376.78000000000003,431.5139393939389
50000,495.88,441.8026839826835
60000,447.5,426.00207792207743
70000,433.6,414.2292640692636
80000,329.08000000000004,390.81965367965324
90000,348.0,371.6728138528134
100000,402.0,373.6909090909087
110000,398.7,393.4058008658004
120000,432.62,422.63281385281334
130000,405.8,433.9132467532462
140000,465.6,434.05757575757525
150000,434.9599999999999,445.3947186147181
160000,439.36,442.7799134199129
170000,437.9,447.0277056277051
180000,470.56000000000006,442.6346320346315
190000,420.02,453.8409523809519
200000,464.82,448.84709956709906
210000,455.08000000000004,449.56692640692586
220000,466.1,451.97818181818127
230000,420.14,471.86995670995617
240000,491.03999999999996,470.6550649350644
250000,490.58000000000004,475.09731601731545
260000,500.0,468.86865800865746
270000,430.46000000000004,471.1603463203458
280000,463.96000000000004,470.2625108225103
290000,445.26000000000005,458.202164502164
300000,500.0,455.71549783549733
310000,483.91999999999996,466.3341991341986
320000,398.24,469.2266666666661
330000,495.88,483.17082251082195
340000,500.0,478.425454545454
350000,499.68,482.90389610389553
360000,500.0,491.13645021644965
370000,436.16,481.7238961038955
380000,483.64,482.3024242424237
390000,498.28000000000003,482.9234632034627
400000,500.0,481.0707359307354
410000,479.94000000000005,490.2441558441553
420000,466.53999999999996,478.5245887445882
430000,463.14,479.54207792207734
440000,492.56000000000006,461.19930735930683
450000,441.23999999999995,441.22432900432847
460000,458.08000000000004,418.722164502164
470000,343.7,411.51385281385234
480000,402.46,407.6062337662333
490000,428.52,425.9407792207787
500000,489.53999999999996,449.36528138528087
510000,458.66,484.5587012987007
520000,500.0,494.10813852813794
530000,499.88,493.6910822510817
540000,493.98,486.27714285714234
550000,481.1,485.86476190476134
560000,464.88,480.1052813852808
570000,482.8,481.8277922077917
580000,491.34,488.058008658008
590000,500.0,494.11593073593014
600000,500.0,501.20147186147125
610000,500.0,509.26883116883056
620000,491.0,488.01532467532405
630000,500.0,470.4092640692635
640000,477.64,467.67125541125483
650000,371.41999999999996,458.76796536796485
660000,487.96000000000004,453.1946320346315
670000,498.03999999999996,448.7347186147181
680000,421.78000000000003,446.70320346320295
690000,442.06000000000006,443.3847619047614
700000,428.93999999999994,429.64181818181765
710000,417.64,438.5404329004324
720000,439.87999999999994,447.8920346320341
730000,500.0,456.15688311688257
740000,467.34,465.82554112554055
750000,427.78000000000003,467.30129870129815
760000,491.32,464.9664069264064
770000,461.4,464.8001731601726
780000,461.1,479.03168831168773
790000,495.14,486.5298701298696
800000,500.0,483.8593073593068
810000,491.48,491.9048484848479
820000,472.32,492.0953246753241
830000,494.96000000000004,492.59870129870075
840000,499.08000000000004,491.56277056276997
850000,487.6,485.9882251082246
860000,500.0,484.8997402597397
870000,459.71999999999997,485.86069264069204
880000,461.43999999999994,470.8774891774886
890000,497.12,463.8399134199129
900000,479.71999999999997,461.99246753246695
910000,405.73999999999995,471.0963636363631
920000,493.18,483.935757575757
930000,496.36,477.373073593073
940000,497.76000000000005,474.97359307359255
950000,484.4,465.24796536796487
960000,390.21999999999997,439.1202597402592
970000,427.52,430.44055411255397
980000,412.1,425.8087705627704
990000,440.14,425.224909090909
1000000,431.84,428.6889696969697
