env_step,return
0,36.50484848484837
10000,161.971212121212
20000,262.99528138528126
30000,339.57705627705616
40000,391.7165367965364
50000,407.90813852813807
60000,406.19982683982636
70000,377.5748917748913
80000,357.10181818181775
90000,374.03913419913374
100000,400.9096969696965
110000,422.4019047619043
120000,432.8962770562766
130000,447.0671861471856
140000,432.21090909090856
150000,399.0039826839822
160000,371.559913419913
170000,344.4706493506489
180000,365.58805194805154
190000,361.1012987012983
200000,365.4225108225104
210000,387.8800865800861
220000,409.7844155844151
230000,403.46770562770513
240000,402.3736796536792
250000,407.38770562770515
260000,402.51636363636317
270000,359.8214718614714
280000,369.3095238095234
290000,368.6650216450212
300000,385.0158441558437
310000,360.9618181818177
320000,352.6846753246749
330000,368.25956709956665
340000,377.3909090909086
350000,397.3179220779216
360000,431.27194805194756
370000,462.1170562770558
380000,461.7102164502159
390000,425.63238095238046
400000,390.18268398268356
410000,378.80181818181774
420000,366.4759307359303
430000,346.4759307359303
440000,350.26640692640655
450000,350.4561904761901
460000,335.0733333333329
470000,347.91844155844115
480000,362.8445887445883
490000,379.8806926406922
500000,405.47194805194755
510000,400.86043290043244
520000,409.59913419913374
530000,395.6044155844151
540000,375.5683982683978
550000,389.3059740259735
560000,395.78285714285664
570000,392.8821645021641
580000,395.41437229437184
590000,386.12909090909045
600000,409.23437229437184
610000,407.7468398268394
620000,413.5328138528134
630000,444.4797402597398
640000,469.1529004328999
650000,463.5647619047614
660000,419.00701298701244
670000,405.71670995670945
680000,410.4785281385276
690000,384.5260606060601
700000,395.3429437229432
710000,417.20484848484796
720000,444.17523809523755
730000,445.83116883116827
740000,429.52155844155794
750000,428.6629437229432
760000,393.2162770562766
770000,337.980952380952
780000,322.02614718614683
790000,345.10926406926365
800000,373.2694372294368
810000,383.2350649350645
820000,425.5500432900428
830000,443.0913419913415
840000,396.224848484848
850000,371.904848484848
860000,356.0471861471857
870000,378.48787878787834
880000,359.3381818181814
890000,350.86735930735887
900000,386.0628571428567
910000,383.6806060606056
920000,366.08389610389565
930000,391.65653679653633
940000,387.3748051948047
950000,398.5852813852809
960000,380.17471861471813
970000,385.719844155844
980000,399.0005541125539
990000,420.0168484848482
1000000,448.7687272727269
